;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions and Ethiopian woredas
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
66,71404,-8.22734,-5.58306,5.95506,4.23052,15.6474,3.05126,5.39139,9.46277,-0.778728,-12.4702,-7.60090,13.3842,20.0299,4.84811,-2.73639,-0.752743,-25.2672,-1.69325,11.7803,-18.3769,-14.1934,5.51771,1.53820,3.51443,-1.01375,-1.08591
67,40006,-2.40602,-7.59304,9.87121,2.64173,7.58279,-2.14679,3.20747,2.94858,-5.88489,-13.3077,-1.08767,16.0477,15.5635,1.38709,-6.82123,6.05700,-17.5750,-1.40558,10.8806,-13.3741,-13.3307,13.0491,13.1544,3.85688,5.53586,3.68076
68,18708,-3.17393,-7.71497,0.794288,-3.40137,9.51842,5.76143,0.388260,0.502749,-2.25676,-11.1026,-8.49193,11.6801,13.0817,6.11038,-2.25853,0.806635,-30.3162,-3.06594,23.9260,-9.08025,-1.21140,17.2320,21.1267,12.7060,21.9867,5.24981
69,36222,-0.802883,-3.96480,0.236764,-6.84498,6.41732,1.84892,0.755087,0.902924,1.17823,-9.88338,-4.24033,11.4841,11.8338,6.89940,-4.18980,1.69865,-25.7094,-4.95976,19.0209,-8.36002,-4.49965,14.9667,16.2209,12.2467,17.1973,7.46858
70,41568,2.92942,0.824200,-3.30531,13.1766,7.50893,-0.410420,0.391157,-2.48798,-2.77505,-11.4653,-7.13641,16.3633,22.4447,4.65752,9.08701,-8.56890,-20.7026,-5.04129,6.23549,-7.90736,-14.6772,-2.69276,-9.81848,-6.13135,-4.74814,-0.722885
71,91489,-8.62990,7.12178,21.4717,5.16328,11.3571,9.30927,1.71369,6.29522,-6.40089,-14.4118,-12.9172,11.0572,10.1508,0.951763,2.38454,-8.90223,-11.5766,-0.410879,14.5433,-13.4714,-22.0965,0.154599,-6.95941,-8.23595,1.56105,-9.17696
72,71805,1.20852,5.07829,14.3339,12.0302,11.4330,2.47876,-3.96550,-1.39090,-12.7428,-15.1310,-12.6519,14.0742,4.02335,6.27668,12.4774,-9.34949,-15.8198,-1.40359,18.7863,-12.3793,-17.0825,5.02917,-9.69162,-6.57006,22.6822,-7.81648
73,29033,-12.6559,7.05709,14.8945,9.29915,18.9862,2.54988,-4.15499,-6.45807,-14.1864,-13.1983,-13.8797,10.8231,8.07200,2.26283,7.28992,-9.25791,-13.0106,5.84799,23.9734,-12.3869,-15.3285,9.28346,-4.45174,-6.11951,11.3718,-10.9148
74,129293,-1.78878,1.17021,7.29057,15.3535,11.5384,3.84451,5.54758,0.984594,-3.00315,-12.1334,-3.17514,10.5752,1.15094,0.584444,2.11671,-8.75092,-17.5248,-0.919735,16.1247,-10.9010,-18.2771,4.06515,-9.50585,-4.66528,7.38380,-9.25179
75,7455,-0.203132,-4.17036,-2.68154,10.2397,3.03493,-2.64569,7.85364,-2.17542,-8.11158,-9.84272,0.580029,11.5935,13.9838,8.34913,6.00783,-9.82836,-9.01463,3.03372,9.50003,-12.1585,-20.9493,7.74951,-19.3109,-13.7608,-8.00529,-16.6621
