COUNTRY,PROVINCE,DISTRICT,DIVI_WOR,IBLI_UNIT,IBLI_ID,Aug/Sep2014,,,,,Jan/Feb2014,,,,,Aug/Sep2013,,,,,Jan/Feb2013,,,,,Aug/Sep2012,,,,,Jan/Feb2012,,,,
,,,,,,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate
KENYA,NORTH EASTERN,MANDERA,ASHABITO,ASHABITO,36,0.05348,0.06979,0.07655,0.09498,0.11666,0.05511,0.07171,0.07853,0.09653,0.11401,0.05511,0.07171,0.07853,0.09653,0.11401,0.05684,0.07042,0.08064,0.09481,0.11388,0.05684,0.07042,0.08064,0.09481,0.11388,0.0587,0.07103,0.08288,0.09512,0.11403
KENYA,NORTH EASTERN,MANDERA,BANISA,BANISA,37,0.05956,0.07983,0.0845,0.0938,0.10687,0.05998,0.0823,0.08699,0.09667,0.10482,0.05998,0.0823,0.08699,0.09667,0.10482,0.06028,0.08159,0.08964,0.0964,0.10642,0.06028,0.08159,0.08964,0.0964,0.10642,0.06043,0.08263,0.09247,0.09903,0.10835
KENYA,NORTH EASTERN,MANDERA,CENTRAL,CENTRAL MANDERA,38,0.05491,0.06686,0.08153,0.10143,0.14796,0.05576,0.06851,0.08242,0.10361,0.14103,0.05576,0.06851,0.08242,0.10361,0.14103,0.05663,0.06692,0.08329,0.10257,0.13352,0.05663,0.06692,0.08329,0.10257,0.13352,0.05767,0.06888,0.08414,0.10342,0.12515
KENYA,NORTH EASTERN,MANDERA,ELWAK,ELWAK,39,0.05955,0.06817,0.08753,0.10447,0.12657,0.06138,0.07009,0.08629,0.10384,0.12485,0.06138,0.07009,0.08629,0.10384,0.12485,0.06333,0.0688,0.08463,0.09948,0.12783,0.06333,0.0688,0.08463,0.09948,0.12783,0.06542,0.07108,0.0837,0.1027,0.13101
KENYA,NORTH EASTERN,MANDERA,FINO,FINO,40,0.04586,0.06015,0.06805,0.08671,0.11041,0.04725,0.06122,0.06999,0.08393,0.10961,0.04725,0.06122,0.06999,0.08393,0.10961,0.04873,0.05901,0.07207,0.079,0.11194,0.04873,0.05901,0.07207,0.079,0.11194,0.05031,0.05944,0.07429,0.08094,0.11442
KENYA,NORTH EASTERN,MANDERA,RHAMU,RHAMU,41,0.05452,0.08958,0.11435,0.13119,0.14539,0.055,0.09167,0.11411,0.13275,0.1451,0.055,0.09167,0.11411,0.13275,0.1451,0.05543,0.09054,0.11342,0.13148,0.14985,0.05543,0.09054,0.11342,0.13148,0.14985,0.05579,0.09081,0.11258,0.13495,0.15493
KENYA,NORTH EASTERN,MANDERA,LIBEHIA,LIBEHIA,42,0.04161,0.05366,0.06531,0.07972,0.10825,0.04203,0.0546,0.06648,0.07838,0.10576,0.04203,0.0546,0.06648,0.07838,0.10576,0.04289,0.05224,0.06771,0.07401,0.10548,0.04289,0.05224,0.06771,0.07401,0.10548,0.04387,0.05377,0.06901,0.07643,0.105
KENYA,NORTH EASTERN,MANDERA,MALKAMARI,MALKAMARI,43,0.05839,0.07003,0.08712,0.09961,0.11268,0.05966,0.0721,0.08618,0.10121,0.11168,0.05966,0.0721,0.08618,0.10121,0.11168,0.06149,0.07098,0.0851,0.09952,0.11442,0.06149,0.07098,0.0851,0.09952,0.11442,0.06346,0.07292,0.08536,0.10259,0.11735
KENYA,NORTH EASTERN,MANDERA,DANDU,DANDU,44,0.04715,0.06163,0.07109,0.08638,0.09844,0.04852,0.06242,0.0731,0.08867,0.09678,0.04852,0.06242,0.0731,0.08867,0.09678,0.04997,0.05989,0.07524,0.08778,0.10496,0.04997,0.05989,0.07524,0.08778,0.10496,0.05152,0.06059,0.07753,0.08869,0.10604
KENYA,NORTH EASTERN,MANDERA,HARERI,HARERI,45,0.05439,0.07479,0.08362,0.10105,0.11658,0.05519,0.07686,0.08512,0.1032,0.11552,0.05519,0.07686,0.08512,0.1032,0.11552,0.05599,0.07572,0.08708,0.10233,0.11725,0.05599,0.07572,0.08708,0.10233,0.11725,0.05684,0.07642,0.08914,0.1035,0.11902
