adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
41,2041,-16.0647,-11.6442,0.947041,2.78905,19.8064,2.72061,1.76622,18.8153,7.40233,-13.7952,-4.51115,14.0921,10.8972,-0.533060,-1.39634,-10.2348,-23.5401,2.48382,20.8411,-6.66267,-16.1479,18.1767,9.29558,-4.22579,19.4740,2.31237
42,9304,-22.3099,-10.7672,-4.12322,0.311613,11.0033,-3.61523,-0.649106,13.6795,2.35833,-15.4118,-4.08149,22.5889,18.5139,-7.10273,-3.00107,1.93903,-15.6353,5.13786,28.9296,-7.66138,-11.0051,14.9069,7.48534,-2.18963,29.8804,3.53174
43,26396,-11.9593,-8.02949,1.87843,2.30698,12.5834,-1.66251,0.359717,9.31015,0.332164,-14.5566,-4.34217,25.9469,19.9849,0.137989,-0.357174,-0.813998,-10.7860,-0.763570,10.2249,-13.2182,-17.9188,13.3175,20.0980,2.88844,15.0970,0.832930
44,23936,-8.28745,-6.20307,7.87646,-0.351896,4.45383,-2.89435,-2.12756,5.30206,-2.39597,-14.7820,-2.38016,27.9174,21.6397,0.621273,-0.561622,0.0757174,-7.15299,-0.130804,10.0078,-10.3996,-21.0720,10.5830,2.32363,-3.88407,16.5787,-2.98526
45,16869,-18.3567,-12.0400,-1.99049,1.50929,12.3541,-0.128796,3.66997,18.0331,8.53811,-14.0396,-6.77526,18.7493,13.9129,-5.63933,-2.92188,-3.19848,-19.3469,1.40448,25.4242,-6.66802,-14.5079,15.8372,9.34952,-0.748496,18.5089,4.80096
46,14810,-16.8570,-7.64760,2.38165,0.855179,-1.18438,-7.17300,-4.93474,12.3951,3.76895,-12.3380,-4.14479,25.8190,20.1977,-0.860277,1.44120,-5.55138,-15.2586,-0.418732,23.4229,-9.21991,-8.83274,24.3074,16.2217,9.82127,42.1652,2.33860
47,13301,-14.8752,-3.63008,4.77461,-3.31658,2.12189,-7.02423,0.531895,11.6351,3.22135,-13.4950,-10.0278,23.5148,22.3401,-1.90394,0.902440,0.132461,-16.8741,-0.214793,22.7342,-7.84353,-14.8493,17.6763,6.65442,0.154428,17.1110,6.24333
48,34652,-4.96325,-9.46888,3.47528,-0.448368,12.1216,0.317129,-9.21052,9.70979,-7.53124,-13.7433,0.590665,24.9047,10.5009,4.73799,12.5923,-8.33856,-11.4744,1.00520,8.56999,-12.5784,-14.6715,20.5404,10.6527,6.28128,22.4598,-4.02355
49,26056,-11.0056,-6.14789,5.54225,2.08530,8.73869,-5.57946,-7.74709,10.7601,-7.77321,-13.8171,-0.392156,26.1404,18.2781,3.44844,3.03340,-7.08626,-13.9171,-2.67029,19.0377,-11.2194,-13.7950,24.5659,19.1586,9.87346,37.3584,-1.25463
50,13102,-8.34857,-11.3585,7.26430,4.62489,17.3075,-0.390678,-3.87631,14.3952,3.56794,-15.4861,-7.33199,21.3696,15.7419,-1.10576,-0.408480,-4.61262,-23.5043,0.996928,16.6024,-12.0583,-17.0143,15.0809,12.3948,-1.85859,18.6940,1.70311
51,12037,-13.1303,-10.0192,1.45454,1.00558,-1.27427,-6.90656,-4.77192,7.72215,7.39059,-12.7852,-10.3469,23.9440,25.8500,-3.24855,-2.50016,1.31029,-10.5361,3.40784,17.6398,-7.88597,-9.77536,17.4279,13.5204,-0.574272,24.4806,-3.19641
52,7078,-21.8743,-13.1417,-2.07063,-0.501018,15.9137,-6.29633,-1.65767,12.4238,4.94723,-13.5258,-4.83332,23.6022,9.74137,-1.73480,-7.01313,0.350255,-16.4828,5.67828,31.9054,-9.22132,-8.57577,17.4430,10.3206,-4.76343,19.2608,1.88895
53,43934,-10.4175,-7.92249,3.18122,-3.17647,10.4141,-3.15190,-9.38288,9.28524,-2.10530,-13.5331,-3.45673,27.5173,26.1885,1.13836,0.917061,-0.775803,-9.40334,-1.60280,11.0684,-10.1958,-17.0035,14.9270,13.9842,1.26246,15.3733,-2.11948
54,20369,-4.47749,-4.77669,8.17340,2.05254,12.9551,-1.24961,14.1719,0.558573,2.98203,-12.5725,2.66717,17.2439,10.1479,2.66839,-6.29485,5.79637,-22.1555,1.01544,5.66738,-11.5932,-23.8371,10.2704,14.1366,4.94440,21.7593,4.14493
